depth,station,sig_type,insitu,GLDAS,residual
5.08,1,seasontrans_sdate_wet2dry_p,NaT,26-Apr-00,NaN
5.08,1,seasontrans_sdate_wet2dry_p,10-Feb-01,19-Mar-01,37
5.08,1,seasontrans_sdate_wet2dry_p,14-Feb-02,NaT,NaN
5.08,1,seasontrans_sdate_wet2dry_p,31-Dec-02,8-Jan-03,8
5.08,1,seasontrans_sdate_wet2dry_l,NaT,28-Apr-00,NaN
5.08,1,seasontrans_sdate_wet2dry_l,21-Feb-01,17-Mar-01,24
5.08,1,seasontrans_sdate_wet2dry_l,21-Feb-02,NaT,NaN
5.08,1,seasontrans_sdate_wet2dry_l,26-Dec-02,6-Jan-03,11
5.08,1,seasontrans_edate_wet2dry_p,NaT,14-May-00,NaN
5.08,1,seasontrans_edate_wet2dry_p,27-Apr-01,26-Apr-01,-1
5.08,1,seasontrans_edate_wet2dry_p,3-May-02,NaT,NaN
5.08,1,seasontrans_edate_wet2dry_p,22-Apr-03,4-May-03,12
5.08,1,seasontrans_edate_wet2dry_l,NaT,15-May-00,NaN
5.08,1,seasontrans_edate_wet2dry_l,29-Apr-01,2-May-01,3
5.08,1,seasontrans_edate_wet2dry_l,28-Apr-02,NaT,NaN
5.08,1,seasontrans_edate_wet2dry_l,27-Apr-03,8-May-03,11
5.08,1,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,1,seasontrans_sdate_dry2wet_p,30-May-00,1-Jun-00,2
5.08,1,seasontrans_sdate_dry2wet_p,7-Jun-01,NaT,NaN
5.08,1,seasontrans_sdate_dry2wet_p,26-May-02,17-Jun-02,22
5.08,1,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,1,seasontrans_sdate_dry2wet_l,NaT,19-May-00,NaN
5.08,1,seasontrans_sdate_dry2wet_l,9-Jun-01,NaT,NaN
5.08,1,seasontrans_sdate_dry2wet_l,29-May-02,20-Jun-02,22
5.08,1,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,1,seasontrans_edate_dry2wet_p,4-Jun-00,1-Nov-00,150
5.08,1,seasontrans_edate_dry2wet_p,15-Jun-01,NaT,NaN
5.08,1,seasontrans_edate_dry2wet_p,5-Jul-02,22-Jun-02,-13
5.08,1,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,1,seasontrans_edate_dry2wet_l,NaT,12-Dec-00,NaN
5.08,1,seasontrans_edate_dry2wet_l,15-Jul-01,NaT,NaN
5.08,1,seasontrans_edate_dry2wet_l,23-Jun-02,21-Jun-02,-2
5.08,2,seasontrans_sdate_wet2dry_p,NaT,29-Apr-04,NaN
5.08,2,seasontrans_sdate_wet2dry_p,28-Jan-05,30-Mar-05,61
5.08,2,seasontrans_sdate_wet2dry_p,20-Oct-05,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_p,6-Feb-07,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_p,17-Jan-08,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_p,15-Oct-08,2-Jan-09,79
5.08,2,seasontrans_sdate_wet2dry_p,25-Mar-10,19-Apr-10,25
5.08,2,seasontrans_sdate_wet2dry_p,NaT,28-Feb-11,NaN
5.08,2,seasontrans_sdate_wet2dry_p,NaT,10-Apr-12,NaN
5.08,2,seasontrans_sdate_wet2dry_p,17-Oct-12,23-Mar-13,157
5.08,2,seasontrans_sdate_wet2dry_p,22-Sep-13,9-Mar-14,168
5.08,2,seasontrans_sdate_wet2dry_p,2-Oct-14,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_p,19-Jan-16,8-Feb-16,20
5.08,2,seasontrans_sdate_wet2dry_p,22-Sep-16,21-Feb-17,152
5.08,2,seasontrans_sdate_wet2dry_p,18-Oct-17,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_p,16-Nov-18,12-Feb-19,88
5.08,2,seasontrans_sdate_wet2dry_l,NaT,28-Apr-04,NaN
5.08,2,seasontrans_sdate_wet2dry_l,22-Mar-05,30-Mar-05,8
5.08,2,seasontrans_sdate_wet2dry_l,14-Oct-05,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_l,10-Feb-07,30-May-07,109
5.08,2,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_l,NaT,4-Jan-09,NaN
5.08,2,seasontrans_sdate_wet2dry_l,27-Mar-10,20-Apr-10,24
5.08,2,seasontrans_sdate_wet2dry_l,NaT,1-Mar-11,NaN
5.08,2,seasontrans_sdate_wet2dry_l,NaT,11-Apr-12,NaN
5.08,2,seasontrans_sdate_wet2dry_l,5-Sep-12,24-Mar-13,200
5.08,2,seasontrans_sdate_wet2dry_l,NaT,11-Mar-14,NaN
5.08,2,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_l,20-Jan-16,22-Jan-16,2
5.08,2,seasontrans_sdate_wet2dry_l,2-Aug-16,23-Feb-17,205
5.08,2,seasontrans_sdate_wet2dry_l,20-Oct-17,NaT,NaN
5.08,2,seasontrans_sdate_wet2dry_l,28-Sep-18,25-Feb-19,150
5.08,2,seasontrans_edate_wet2dry_p,NaT,15-May-04,NaN
5.08,2,seasontrans_edate_wet2dry_p,3-Feb-05,10-Apr-05,66
5.08,2,seasontrans_edate_wet2dry_p,10-Dec-05,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_p,26-Feb-07,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_p,7-Feb-08,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_p,23-Nov-08,4-Feb-09,73
5.08,2,seasontrans_edate_wet2dry_p,2-Apr-10,5-May-10,33
5.08,2,seasontrans_edate_wet2dry_p,NaT,16-Mar-11,NaN
5.08,2,seasontrans_edate_wet2dry_p,NaT,29-Apr-12,NaN
5.08,2,seasontrans_edate_wet2dry_p,27-Oct-12,9-Apr-13,164
5.08,2,seasontrans_edate_wet2dry_p,4-Oct-13,8-Apr-14,186
5.08,2,seasontrans_edate_wet2dry_p,10-Oct-14,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_p,17-Feb-16,3-Apr-16,46
5.08,2,seasontrans_edate_wet2dry_p,4-Oct-16,13-Mar-17,160
5.08,2,seasontrans_edate_wet2dry_p,18-Nov-17,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_p,29-Nov-18,26-May-19,178
5.08,2,seasontrans_edate_wet2dry_l,NaT,18-May-04,NaN
5.08,2,seasontrans_edate_wet2dry_l,15-Jul-05,11-Apr-05,-95
5.08,2,seasontrans_edate_wet2dry_l,17-Dec-05,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_l,25-Feb-07,1-Jun-07,96
5.08,2,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_l,NaT,6-Feb-09,NaN
5.08,2,seasontrans_edate_wet2dry_l,3-Apr-10,7-May-10,34
5.08,2,seasontrans_edate_wet2dry_l,NaT,17-Mar-11,NaN
5.08,2,seasontrans_edate_wet2dry_l,NaT,1-May-12,NaN
5.08,2,seasontrans_edate_wet2dry_l,24-Apr-13,10-Apr-13,-14
5.08,2,seasontrans_edate_wet2dry_l,NaT,10-Apr-14,NaN
5.08,2,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_l,18-Mar-16,21-May-16,64
5.08,2,seasontrans_edate_wet2dry_l,3-Apr-17,13-Mar-17,-21
5.08,2,seasontrans_edate_wet2dry_l,17-Nov-17,NaT,NaN
5.08,2,seasontrans_edate_wet2dry_l,29-Mar-19,21-May-19,53
5.08,2,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_p,31-May-04,1-Jul-04,31
5.08,2,seasontrans_sdate_dry2wet_p,24-Jun-05,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_p,3-Jun-06,26-Apr-06,-38
5.08,2,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_p,1-Jun-08,8-Jun-08,7
5.08,2,seasontrans_sdate_dry2wet_p,30-Jun-09,10-Jun-09,-20
5.08,2,seasontrans_sdate_dry2wet_p,22-Jun-10,13-Jun-10,-9
5.08,2,seasontrans_sdate_dry2wet_p,25-Jun-11,14-Jul-11,19
5.08,2,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_p,16-Jun-13,20-Jun-13,4
5.08,2,seasontrans_sdate_dry2wet_p,14-Jun-14,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_p,25-Apr-15,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_p,27-Apr-16,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_p,10-Apr-17,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_p,14-Jun-18,22-Jun-18,8
5.08,2,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_l,27-May-04,18-May-04,-9
5.08,2,seasontrans_sdate_dry2wet_l,26-Jun-05,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_l,22-May-06,11-Apr-06,-41
5.08,2,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_l,25-Jun-08,11-Jun-08,-14
5.08,2,seasontrans_sdate_dry2wet_l,20-Apr-09,15-Jun-09,56
5.08,2,seasontrans_sdate_dry2wet_l,26-Jun-10,14-Jun-10,-12
5.08,2,seasontrans_sdate_dry2wet_l,26-Jun-11,28-May-11,-29
5.08,2,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_l,18-Jun-13,23-Jun-13,5
5.08,2,seasontrans_sdate_dry2wet_l,14-Jun-14,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_l,28-Apr-15,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_l,29-Jun-16,12-Jul-16,13
5.08,2,seasontrans_sdate_dry2wet_l,25-Feb-17,NaT,NaN
5.08,2,seasontrans_sdate_dry2wet_l,19-Apr-18,20-Apr-18,1
5.08,2,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_p,6-Jul-04,10-Jul-04,4
5.08,2,seasontrans_edate_dry2wet_p,24-Jul-05,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_p,21-Jul-06,28-Jun-06,-23
5.08,2,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_p,4-Jul-08,15-Jun-08,-19
5.08,2,seasontrans_edate_dry2wet_p,6-Jul-09,19-Jun-09,-17
5.08,2,seasontrans_edate_dry2wet_p,29-Jun-10,19-Jun-10,-10
5.08,2,seasontrans_edate_dry2wet_p,14-Jul-11,15-Aug-11,32
5.08,2,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_p,22-Jun-13,24-Jun-13,2
5.08,2,seasontrans_edate_dry2wet_p,2-Jul-14,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_p,30-Apr-15,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_p,3-May-16,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_p,15-Apr-17,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_p,14-Jul-18,12-Jul-18,-2
5.08,2,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_l,3-Jul-04,9-Dec-04,159
5.08,2,seasontrans_edate_dry2wet_l,22-Jul-05,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_l,29-Jul-06,17-Jul-06,-12
5.08,2,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_l,1-Jul-08,12-Jun-08,-19
5.08,2,seasontrans_edate_dry2wet_l,21-Jul-09,16-Jun-09,-35
5.08,2,seasontrans_edate_dry2wet_l,27-Jun-10,21-Jun-10,-6
5.08,2,seasontrans_edate_dry2wet_l,16-Jul-11,31-Oct-11,107
5.08,2,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_l,23-Jun-13,24-Jun-13,1
5.08,2,seasontrans_edate_dry2wet_l,4-Jul-14,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_l,29-Apr-15,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_l,14-Jul-16,13-Jul-16,-1
5.08,2,seasontrans_edate_dry2wet_l,14-Apr-17,NaT,NaN
5.08,2,seasontrans_edate_dry2wet_l,21-Aug-18,13-Nov-18,84
5.08,3,seasontrans_sdate_wet2dry_p,20-Jan-15,28-May-15,128
5.08,3,seasontrans_sdate_wet2dry_p,NaT,11-Mar-16,NaN
5.08,3,seasontrans_sdate_wet2dry_p,19-Jun-17,25-Jun-17,6
5.08,3,seasontrans_sdate_wet2dry_l,NaT,29-May-15,NaN
5.08,3,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5.08,3,seasontrans_sdate_wet2dry_l,21-Jun-17,27-Jun-17,6
5.08,3,seasontrans_edate_wet2dry_p,22-Aug-15,19-Jun-15,-64
5.08,3,seasontrans_edate_wet2dry_p,NaT,26-Oct-16,NaN
5.08,3,seasontrans_edate_wet2dry_p,28-Jun-17,5-Jul-17,7
5.08,3,seasontrans_edate_wet2dry_l,NaT,20-Jun-15,NaN
5.08,3,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5.08,3,seasontrans_edate_wet2dry_l,28-Jun-17,6-Jul-17,8
5.08,3,seasontrans_sdate_dry2wet_p,NaT,10-Jan-15,NaN
5.08,3,seasontrans_sdate_dry2wet_p,14-Sep-15,20-Aug-15,-25
5.08,3,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,3,seasontrans_sdate_dry2wet_l,NaT,19-Jan-15,NaN
5.08,3,seasontrans_sdate_dry2wet_l,13-Nov-15,18-Aug-15,-87
5.08,3,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,3,seasontrans_edate_dry2wet_p,NaT,21-Jan-15,NaN
5.08,3,seasontrans_edate_dry2wet_p,28-Dec-15,25-Nov-15,-33
5.08,3,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,3,seasontrans_edate_dry2wet_l,NaT,20-Jan-15,NaN
5.08,3,seasontrans_edate_dry2wet_l,15-Dec-15,15-Nov-15,-30
5.08,3,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_p,NaT,20-Jun-05,NaN
5.08,4,seasontrans_sdate_wet2dry_p,6-Sep-05,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_p,11-Nov-06,17-Dec-06,36
5.08,4,seasontrans_sdate_wet2dry_p,NaT,19-Jul-08,NaN
5.08,4,seasontrans_sdate_wet2dry_p,10-Nov-08,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_p,16-Feb-10,27-Apr-10,70
5.08,4,seasontrans_sdate_wet2dry_p,NaT,15-Mar-11,NaN
5.08,4,seasontrans_sdate_wet2dry_p,1-Jan-12,28-Mar-12,87
5.08,4,seasontrans_sdate_wet2dry_p,8-Mar-13,17-Aug-13,162
5.08,4,seasontrans_sdate_wet2dry_p,2-Oct-13,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_p,6-Feb-15,4-Aug-15,179
5.08,4,seasontrans_sdate_wet2dry_p,30-Oct-15,10-Jan-16,72
5.08,4,seasontrans_sdate_wet2dry_l,NaT,21-Jun-05,NaN
5.08,4,seasontrans_sdate_wet2dry_l,22-Oct-05,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_l,22-Feb-10,18-Mar-10,24
5.08,4,seasontrans_sdate_wet2dry_l,NaT,16-Mar-11,NaN
5.08,4,seasontrans_sdate_wet2dry_l,3-Jan-12,22-Feb-12,50
5.08,4,seasontrans_sdate_wet2dry_l,7-Mar-13,26-Jul-13,141
5.08,4,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_wet2dry_l,30-Jan-15,26-Jul-15,177
5.08,4,seasontrans_sdate_wet2dry_l,23-Jan-16,27-Dec-15,-27
5.08,4,seasontrans_edate_wet2dry_p,NaT,24-Jun-05,NaN
5.08,4,seasontrans_edate_wet2dry_p,29-Sep-05,NaT,NaN
5.08,4,seasontrans_edate_wet2dry_p,4-May-07,20-Jul-07,77
5.08,4,seasontrans_edate_wet2dry_p,NaT,2-Sep-08,NaN
5.08,4,seasontrans_edate_wet2dry_p,4-May-09,NaT,NaN
5.08,4,seasontrans_edate_wet2dry_p,5-Apr-10,30-Apr-10,25
5.08,4,seasontrans_edate_wet2dry_p,NaT,9-Apr-11,NaN
5.08,4,seasontrans_edate_wet2dry_p,21-Jan-12,20-Apr-12,90
5.08,4,seasontrans_edate_wet2dry_p,5-Apr-13,22-Aug-13,139
5.08,4,seasontrans_edate_wet2dry_p,5-Oct-13,NaT,NaN
5.08,4,seasontrans_edate_wet2dry_p,15-Feb-15,10-Aug-15,176
5.08,4,seasontrans_edate_wet2dry_p,6-Nov-15,7-Jun-16,214
5.08,4,seasontrans_edate_wet2dry_l,NaT,24-Jun-05,NaN
5.08,4,seasontrans_edate_wet2dry_l,19-Nov-05,NaT,NaN
5.08,4,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5.08,4,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5.08,4,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5.08,4,seasontrans_edate_wet2dry_l,4-Apr-10,26-Apr-10,22
5.08,4,seasontrans_edate_wet2dry_l,NaT,9-Apr-11,NaN
5.08,4,seasontrans_edate_wet2dry_l,22-Jan-12,26-Jun-12,156
5.08,4,seasontrans_edate_wet2dry_l,30-May-13,2-Aug-13,64
5.08,4,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5.08,4,seasontrans_edate_wet2dry_l,1-Apr-15,30-Aug-15,151
5.08,4,seasontrans_edate_wet2dry_l,7-Feb-16,25-Jun-16,139
5.08,4,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_p,11-Jul-06,29-Jul-06,18
5.08,4,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_p,NaT,4-Sep-09,NaN
5.08,4,seasontrans_sdate_dry2wet_p,NaT,25-Oct-10,NaN
5.08,4,seasontrans_sdate_dry2wet_p,9-Jun-11,13-Aug-11,65
5.08,4,seasontrans_sdate_dry2wet_p,8-Jul-12,20-Aug-12,43
5.08,4,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_p,14-Apr-15,14-Sep-15,153
5.08,4,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_l,21-Jul-05,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_l,11-Jul-06,1-Aug-06,21
5.08,4,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_l,NaT,23-Nov-09,NaN
5.08,4,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_l,9-Jun-11,14-Aug-11,66
5.08,4,seasontrans_sdate_dry2wet_l,3-Jul-12,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_l,9-May-13,13-Nov-13,188
5.08,4,seasontrans_sdate_dry2wet_l,7-May-14,NaT,NaN
5.08,4,seasontrans_sdate_dry2wet_l,4-Apr-15,19-Sep-15,168
5.08,4,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_p,4-Aug-06,5-Aug-06,1
5.08,4,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_p,NaT,25-Feb-10,NaN
5.08,4,seasontrans_edate_dry2wet_p,NaT,29-Oct-10,NaN
5.08,4,seasontrans_edate_dry2wet_p,23-Sep-11,28-Nov-11,66
5.08,4,seasontrans_edate_dry2wet_p,9-Aug-12,30-Aug-12,21
5.08,4,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_p,19-Apr-15,24-Sep-15,158
5.08,4,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_l,23-Jul-05,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_l,8-Aug-06,2-Aug-06,-6
5.08,4,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_l,NaT,10-Feb-10,NaN
5.08,4,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_l,23-Jul-11,16-Oct-11,85
5.08,4,seasontrans_edate_dry2wet_l,19-Aug-12,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_l,11-May-13,15-Nov-13,188
5.08,4,seasontrans_edate_dry2wet_l,8-May-14,NaT,NaN
5.08,4,seasontrans_edate_dry2wet_l,26-Apr-15,20-Sep-15,147
5.08,5,seasontrans_sdate_wet2dry_p,4-Apr-00,8-Apr-00,4
5.08,5,seasontrans_sdate_wet2dry_p,10-Mar-01,6-Apr-01,27
5.08,5,seasontrans_sdate_wet2dry_p,NaT,NaT,NaN
5.08,5,seasontrans_sdate_wet2dry_p,3-Jul-03,26-Jun-03,-7
5.08,5,seasontrans_sdate_wet2dry_p,NaT,17-Apr-04,NaN
5.08,5,seasontrans_sdate_wet2dry_p,24-Feb-05,8-Feb-05,-16
5.08,5,seasontrans_sdate_wet2dry_l,19-Jul-00,9-Apr-00,-101
5.08,5,seasontrans_sdate_wet2dry_l,30-Mar-01,3-Mar-01,-27
5.08,5,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
5.08,5,seasontrans_sdate_wet2dry_l,4-Jul-03,29-Jun-03,-5
5.08,5,seasontrans_sdate_wet2dry_l,27-Apr-04,19-Apr-04,-8
5.08,5,seasontrans_sdate_wet2dry_l,26-Feb-05,18-Jan-05,-39
5.08,5,seasontrans_edate_wet2dry_p,12-Apr-00,20-Apr-00,8
5.08,5,seasontrans_edate_wet2dry_p,15-Apr-01,19-Apr-01,4
5.08,5,seasontrans_edate_wet2dry_p,NaT,NaT,NaN
5.08,5,seasontrans_edate_wet2dry_p,7-Jul-03,13-Jul-03,6
5.08,5,seasontrans_edate_wet2dry_p,NaT,29-Apr-04,NaN
5.08,5,seasontrans_edate_wet2dry_p,13-Mar-05,28-May-05,76
5.08,5,seasontrans_edate_wet2dry_l,9-Sep-00,21-Apr-00,-141
5.08,5,seasontrans_edate_wet2dry_l,9-Apr-01,8-Jun-01,60
5.08,5,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
5.08,5,seasontrans_edate_wet2dry_l,7-Jul-03,12-Jul-03,5
5.08,5,seasontrans_edate_wet2dry_l,30-Apr-04,29-Apr-04,-1
5.08,5,seasontrans_edate_wet2dry_l,14-Mar-05,30-Jun-05,108
5.08,5,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,5,seasontrans_sdate_dry2wet_p,6-Sep-00,30-Sep-00,24
5.08,5,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,5,seasontrans_sdate_dry2wet_p,4-Aug-02,3-Dec-02,121
5.08,5,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
5.08,5,seasontrans_sdate_dry2wet_p,27-Oct-04,14-Oct-04,-13
5.08,5,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,5,seasontrans_sdate_dry2wet_l,29-Sep-00,6-Oct-00,7
5.08,5,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,5,seasontrans_sdate_dry2wet_l,21-Jun-02,7-Dec-02,169
5.08,5,seasontrans_sdate_dry2wet_l,NaT,NaT,NaN
5.08,5,seasontrans_sdate_dry2wet_l,5-Sep-04,7-Sep-04,2
5.08,5,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,5,seasontrans_edate_dry2wet_p,11-Jan-01,16-Oct-00,-87
5.08,5,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,5,seasontrans_edate_dry2wet_p,15-Aug-02,11-Dec-02,118
5.08,5,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
5.08,5,seasontrans_edate_dry2wet_p,31-Oct-04,24-Oct-04,-7
5.08,5,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,5,seasontrans_edate_dry2wet_l,7-Oct-00,14-Oct-00,7
5.08,5,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,5,seasontrans_edate_dry2wet_l,30-Aug-02,9-Dec-02,101
5.08,5,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
5.08,5,seasontrans_edate_dry2wet_l,9-Sep-04,11-Sep-04,2
5.08,9,seasontrans_sdate_wet2dry_p,24-Feb-08,NaT,NaN
5.08,9,seasontrans_sdate_wet2dry_p,13-Feb-09,28-Mar-08,-322
5.08,9,seasontrans_sdate_wet2dry_p,10-May-10,27-Feb-09,-437
5.08,9,seasontrans_sdate_wet2dry_p,27-Jun-11,NaT,NaN
5.08,9,seasontrans_sdate_wet2dry_p,23-Mar-12,18-May-11,-310
5.08,9,seasontrans_sdate_wet2dry_p,9-Apr-13,3-Sep-12,-218
5.08,9,seasontrans_sdate_wet2dry_p,23-Feb-14,NaT,NaN
5.08,9,seasontrans_sdate_wet2dry_p,31-Jan-15,11-Apr-14,-295
5.08,9,seasontrans_sdate_wet2dry_p,19-Feb-16,20-Aug-15,-183
5.08,9,seasontrans_sdate_wet2dry_p,NaT,8-May-16,NaN
5.08,9,seasontrans_sdate_wet2dry_p,11-Sep-18,16-Feb-17,-572
5.08,9,seasontrans_sdate_wet2dry_p,1-Jun-19,1-Apr-18,-426
5.08,9,seasontrans_sdate_wet2dry_l,21-Feb-08,NaT,NaN
5.08,9,seasontrans_sdate_wet2dry_l,5-Jan-09,30-Mar-08,-281
5.08,9,seasontrans_sdate_wet2dry_l,NaT,10-Feb-09,NaN
5.08,9,seasontrans_sdate_wet2dry_l,29-Jun-11,NaT,NaN
5.08,9,seasontrans_sdate_wet2dry_l,14-Mar-12,9-Jun-11,-279
5.08,9,seasontrans_sdate_wet2dry_l,9-Apr-13,6-Sep-12,-215
5.08,9,seasontrans_sdate_wet2dry_l,26-Feb-14,NaT,NaN
5.08,9,seasontrans_sdate_wet2dry_l,7-Jan-15,14-Apr-14,-268
5.08,9,seasontrans_sdate_wet2dry_l,13-May-16,21-Aug-15,-266
5.08,9,seasontrans_sdate_wet2dry_l,NaT,5-Apr-16,NaN
5.08,9,seasontrans_sdate_wet2dry_l,NaT,14-Feb-17,NaN
5.08,9,seasontrans_sdate_wet2dry_l,1-Jun-19,7-May-18,-390
